"作业方式","建造完工日期","所有人","作业海域","主机功率","企业名称","总吨位","船长姓名","渔船国籍","船名号"
"延绳钓","0169-10-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋","720","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔210"
"拖网","2187-09-05 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋公海","1960.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔979"
"金枪鱼延绳钓","2183-04-07 00:00:00.0","威海市恒源渔业有限公司","中西太平洋","750","威海市恒源渔业有限公司","332",,"中国","鲁乳远渔669"
"金枪鱼延绳钓","2185-08-03 00:00:00.0","荣成市远洋渔业有限公司","太平洋公海","698","荣成市远洋渔业有限公司","255",,"中国","鲁远23"
"鱿鱼钓","2183-02-10 00:00:00.0","荣成市王岛大洋水产有限公司","西南大西洋、东南太平洋、北太","1710.00","荣成市王岛大洋水产有限公司","1300.00",,"中国","鲁荣远渔186"
"单拖网","2185-09-09 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔373"
"灯光围网","2182-09-04 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔812"
"金枪钓","2192-12-07 00:00:00.0","荣成市荣远渔业有限公司","中西太平洋公海","1000.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔288"
"金枪鱼延绳钓","2198-12-05 00:00:00.0","荣成马山远洋渔业有限公司","太平洋公海","750.00","荣成马山远洋渔业有限公司","276.00",,"中国","鲁荣远渔299"
"围网","0170-03-12 00:00:00.0","荣成市连海渔业有限公司","印度洋","1189.00","荣成市连海渔业有限公司","1470.00",,"中国","鲁荣远渔239"
"围网","2186-03-11 00:00:00.0","荣成市海洋渔业有限公司","太平洋和印度洋公海","1500.00","荣成市海洋渔业有限公司","1110.00",,"中国","鲁荣远渔891"
"鱿鱼钓","2186-08-09 00:00:00.0","荣成市永进水产有限公司","无项目","960.00","荣成市永进水产有限公司","403.00",,"中国","荣远渔168"
"拖网船","0173-09-11 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔966"
"金枪鱼延绳钓","2179-09-11 00:00:00.0","荣成市远洋渔业有限公司","印度洋公海","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔327"
"鱿鱼钓","0176-08-11 00:00:00.0","荣成市泓顺水产有限公司","北太平洋、东南太平洋公海","960.00","荣成市泓顺水产有限公司","440.00",,"中国","鲁荣远渔333"
"灯光围网","0175-11-04 00:00:00.0","荣成市永进水产有限公司","印度洋公海","1470.00","荣成市永进水产有限公司","720.00",,"中国","鲁荣远渔869"
"拖网","2184-10-06 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋公海","2350","荣成市赤山远洋渔业有限公司","724",,"中国","鲁荣远渔805"
"金枪鱼延绳钓","2191-04-01 00:00:00.0","威海昌和渔业有限公司","中西太平洋公海","540","威海昌和渔业有限公司","190",,"中国","荣大洋6"
"鱿钓","2187-10-06 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋公海","2100","荣成市赤山远洋渔业有限公司","1497",,"中国","鲁荣远渔808"
"单拖网","2189-08-11 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔360"
"延绳钓","2190-03-01 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","329",,"中国","鲁荣远渔800"
"鱿鱼钓","2181-01-11 00:00:00.0","荣成好当家远洋渔业有限公司","西南大西洋公海","1500.00","荣成好当家远洋渔业有限公司","1087.00",,"中国","鲁荣远渔601"
"延绳钓","2184-02-11 00:00:00.0","荣成市远洋渔业有限公司","中西太","750","荣成市远洋渔业有限公司","316",,"中国","鲁荣远渔686"
"秋刀鱼捕捞船","0176-10-06 00:00:00.0","文登市鲲安水产有限责任公司","西北太平洋公海、印度洋","2100","文登市鲲安水产有限责任公司","1577",,"中国","鲁文远渔175"
"鱿鱼钓","2180-02-01 00:00:00.0","荣成好当家远洋渔业有限公司","西南大西洋公海","1500.00","荣成好当家远洋渔业有限公司","1087.00",,"中国","鲁荣远渔608"
"拖网船","2197-09-10 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔967"
"0",,,"0","0","0","0","0","0","0"
