"作业方式","建造完工日期","所有人","作业海域","主机功率","企业名称","总吨位","船长姓名","渔船国籍","船名号"
"金枪钓","0175-09-03 00:00:00.0","荣成市荣远渔业有限公司","中西太平洋公海","1360.00","荣成市荣远渔业有限公司","474.00",,"中国","鲁荣远渔788"
"灯光围网","2198-10-10 00:00:00.0","荣成市永进水产有限公司","印度洋公海","1470.00","荣成市永进水产有限公司","720.00",,"中国","鲁荣远渔866"
"延绳钓","0173-08-12 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋/东太平洋","698.00","山东俚岛海洋科技股份有限公司","276.00",,"中国","鲁荣远渔57"
"运输船","2185-01-05 00:00:00.0","荣成市荣远渔业有限公司","朝鲜海域、北太平洋、印度洋和西南大西洋","3500.00","荣成市荣远渔业有限公司","3116.00",,"中国","鲁荣远渔运678"
"鱿鱼钓","2197-01-11 00:00:00.0","荣成市永进水产有限公司","西南大西洋公海","1765.00","荣成市永进水产有限公司","1362.00",,"中国","鲁荣远渔585"
"金枪鱼延绳钓","2180-09-06 00:00:00.0","威海昌和渔业有限公司","印度洋公海","1000","威海昌和渔业有限公司","454",,"中国","鲁威远渔488"
"拖网","2184-01-10 00:00:00.0","威海世源远洋渔业有限公司","伊朗","1750","威海世源远洋渔业有限公司","752",,"中国","鲁威远渔026"
"金枪鱼延绳钓","0175-09-05 00:00:00.0","荣成市永进水产有限公司","印度洋公海","735.00","荣成市永进水产有限公司","357.00",,"中国","鲁荣远渔599"
"鱿钓","2188-01-03 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋公海","1540","荣成市赤山远洋渔业有限公司","1087",,"中国","鲁荣远渔538"
"鱿鱼钓","2196-12-09 00:00:00.0","荣成华东渔业有限公司","印度洋","1000.00","荣成华东渔业有限公司","744.00",,"中国","鲁荣远渔195"
"鱿鱼钓","2183-11-11 00:00:00.0","荣成市泓顺水产有限公司","西南大西洋、太平洋公海","1760.00","荣成市泓顺水产有限公司","1806.00",,"中国","鲁荣远渔393"
"金枪钓","0168-09-03 00:00:00.0","荣成市荣远渔业有限公司","中西太平洋公海","1360.00","荣成市荣远渔业有限公司","474.00",,"中国","鲁荣远渔778"
"围网","0170-03-09 00:00:00.0","山东海裕远洋渔业有限公司","印度洋公海","1155","山东海裕远洋渔业有限公司","899",,"中国","鲁荣远渔306"
"单拖网","2190-09-09 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔381"
"拖网","2184-10-01 00:00:00.0","荣成市海洋渔业有限公司","加纳","920","荣成市海洋渔业有限公司","289",,"中国","鲁荣远渔958"
"延绳钓","2178-09-04 00:00:00.0","荣成市远洋渔业有限公司","印度洋","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔201"
"金枪鱼延绳钓","2181-04-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋公海","960","荣成市远洋渔业有限公司","381",,"中国","鲁荣远渔776"
"围网","2180-03-10 00:00:00.0","荣成市连海渔业有限公司","印度洋","1189.00","荣成市连海渔业有限公司","1470.00",,"中国","鲁荣远渔237"
"单拖网","2197-09-12 00:00:00.0","荣成市连海渔业有限公司","西南大西洋公海","2350.00","荣成市连海渔业有限公司","819.00",,"中国","鲁荣远渔898"
"鱿鱼钓","2191-08-07 00:00:00.0","荣成市海洋渔业有限公司","西南大西洋和东南太平洋","1103.00","荣成市海洋渔业有限公司","994.00",,"中国","海洋6"
"鱿鱼钓","2192-07-04 00:00:00.0","威海荣玛渔业有限公司","西南大西洋、东南太平洋公海","1750","威海荣玛渔业有限公司","1300",,"中国","鲁威远渔969"
"鱿鱼钓","0169-03-07 00:00:00.0","山东海裕远洋渔业有限公司","西南大西洋、东南太平洋、北太平洋和印度洋公海","1800","山东海裕远洋渔业有限公司","1531",,"中国","鲁荣远渔696"
"延绳钓","0172-12-07 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋/东太平洋公海","750.00","山东俚岛海洋科技股份有限公司","316.00",,"中国","鲁荣远渔616"
"金枪鱼延绳钓","2195-08-05 00:00:00.0","威海市恒源渔业有限公司","印度洋公海","1000","威海市恒源渔业有限公司","321",,"中国","鲁荣远渔189"
"单拖网","2195-09-08 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔365"
"鱿钓","2196-10-07 00:00:00.0","荣成鑫润水产有限公司","西南大西洋和太平洋公海","2100.00","荣成鑫润水产有限公司","1673.00",,"中国","鲁荣远渔179"
"秋刀鱼捕捞船","2186-10-11 00:00:00.0","文登市鲲安水产有限责任公司","西北太平洋公海、印度洋","2100","文登市鲲安水产有限责任公司","1577",,"中国","鲁文远渔178"
"拖网","0175-09-05 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔512"
"金枪钓","2179-03-06 00:00:00.0","荣成市远洋渔业有限公司","中西太平洋与东太平洋","750","荣成市远洋渔业有限公司","316",,"中国","鲁荣远渔938"
"鱿鱼钓","2184-09-09 00:00:00.0","威海荣玛渔业有限公司","西南大西洋、东南太平洋公海","1103","威海荣玛渔业有限公司","917",,"中国","鲁威远渔868"
"鱿鱼钓","2178-07-11 00:00:00.0","荣成市王岛大洋水产有限公司","西南大西洋、东南太平洋","882.00","荣成市王岛大洋水产有限公司","955.00",,"中国","振发7"
"拖网","2190-09-05 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋公海","1960.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔988"
"延绳钓","2198-08-12 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋/东太平洋","698.00","山东俚岛海洋科技股份有限公司","276.00",,"中国","鲁荣远渔58"
"灯光围网","2182-10-11 00:00:00.0","荣成市永进水产有限公司","印度洋公海","1470.00","荣成市永进水产有限公司","720.00",,"中国","鲁荣远渔867"
"拖网","2193-09-04 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔507"
"拖网船","2198-09-05 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔918"
"拖网","0172-12-01 00:00:00.0","荣成市远洋渔业有限公司","科特迪瓦","960","荣成市远洋渔业有限公司","328",,"中国","鲁荣远渔219"
"金枪钓","2192-12-07 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔269"
"鱿鱼钓","2196-12-09 00:00:00.0","荣成华东渔业有限公司","印度洋","1000.00","荣成华东渔业有限公司","744.00",,"中国","鲁荣远渔278"
"金枪钓","2187-01-12 00:00:00.0","山东沙窝岛远洋渔业股份有限公司","中西太平洋公海","750.00","山东沙窝岛远洋渔业股份有限公司","432.00",,"中国","鲁荣远渔659"
"鱿鱼钓","2199-04-07 00:00:00.0","山东鑫弘集团有限公司","北太平洋、东南太平洋、西南大西洋及印度洋公海","1800.00","山东鑫弘集团有限公司","1492.00",,"中国","鲁荣远渔835"
"围网","0173-03-12 00:00:00.0","荣成市连海渔业有限公司","印度洋","1189.00","荣成市连海渔业有限公司","1470.00",,"中国","鲁荣远渔230"
"单拖渔船","2187-09-12 00:00:00.0","荣成市华海渔业有限公司","西南大西洋公海","2350.00","荣成市华海渔业有限公司","819.00",,"中国","鲁荣远渔818"
"鱿鱼钓","0176-01-09 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋、东南太平洋和北太平洋公海","1540","荣成市荣远渔业有限公司","1531",,"中国","鲁荣远渔198"
"延绳钓","2193-03-07 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","316",,"中国","鲁荣远渔357"
"延绳钓","2189-09-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔208"
"单拖网","2178-09-09 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔371"
"延绳钓","2192-04-01 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋","330.00","山东俚岛海洋科技股份有限公司","190.00",,"中国","鲁荣远渔27"
"单拖网","2178-09-09 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔372"
"拖网船","2183-09-09 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔929"
"延绳钓","0175-09-10 00:00:00.0","山东俚岛海洋科技股份有限公司","太平洋公海","828.00","山东俚岛海洋科技股份有限公司","307.00",,"中国","鲁荣远渔137"
"灯光围网","2195-09-06 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔116"
"延绳钓","2189-09-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔206"
"金枪鱼延绳钓","2180-09-06 00:00:00.0","威海昌和渔业有限公司","印度洋公海","1000","威海昌和渔业有限公司","454",,"中国","鲁威远渔388"
"金枪鱼延绳钓","2185-08-03 00:00:00.0","荣成市远洋渔业有限公司","太平洋公海","698","荣成市远洋渔业有限公司","255",,"中国","鲁远24"
"鱿鱼钓","0174-01-12 00:00:00.0","荣成市永进水产有限公司","西南大西洋公海","1765.00","荣成市永进水产有限公司","1362.00",,"中国","鲁荣远渔586"
"灯光围网","0168-09-06 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔112"
"鱿鱼钓","2185-11-08 00:00:00.0","荣成市连海渔业有限公司","印度洋公海","1000.00","荣成市连海渔业有限公司","765.00",,"中国","鲁荣远渔882"
"拖网","2193-09-04 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔508"
"延绳钓","0170-09-05 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔205"
"鱿鱼钓","2177-11-03 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋、东南太平洋和北太平洋公海","2205.00","荣成市荣远渔业有限公司","1654.00",,"中国","鲁荣远渔668"
"金枪钓","2179-03-06 00:00:00.0","荣成市远洋渔业有限公司","中西太平洋与东太平洋","750","荣成市远洋渔业有限公司","316",,"中国","鲁荣远渔937"
"延绳钓","2189-05-12 00:00:00.0","荣成市远洋渔业有限公司","中西太","480","荣成市远洋渔业有限公司","219",,"中国","中荣 15"
"鱿钓","2185-09-10 00:00:00.0","荣成鑫润水产有限公司","西南大西洋和太平洋公海","2100.00","荣成鑫润水产有限公司","1673.00",,"中国","鲁荣远渔679"
"运输","2182-09-12 00:00:00.0","荣成市恒隆渔业有限公司","印度洋公海","2100","荣成市恒隆渔业有限公司","2217",,"中国","鲁荣远渔运001"
"延绳钓","2178-08-03 00:00:00.0","荣成市远洋渔业有限公司","太平洋","480","荣成市远洋渔业有限公司","255",,"中国","中荣 32"
"单拖网","2187-10-08 00:00:00.0","荣成市连海渔业有限公司","西南大西洋公海","2350.00","荣成市连海渔业有限公司","819.00",,"中国","鲁荣远渔897"
"金枪鱼延绳钓","2192-09-09 00:00:00.0","威海昌和渔业有限公司","印度洋公海","1000","威海昌和渔业有限公司","454",,"中国","鲁威远渔588"
"拖网","2192-09-04 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋公海","1960.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔977"
"延绳钓","0172-12-07 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋/东太平洋公海","750.00","山东俚岛海洋科技股份有限公司","316.00",,"中国","鲁荣远渔618"
"延绳钓","0172-08-05 00:00:00.0","荣成市远洋渔业有限公司","太平洋","480","荣成市远洋渔业有限公司","255",,"中国","鸿洋 88"
"鱿鱼钓","2187-11-05 00:00:00.0","荣成市连海渔业有限公司","印度洋公海","1000.00","荣成市连海渔业有限公司","764.00",,"中国","鲁荣远渔729"
"金枪鱼延绳钓","2195-08-05 00:00:00.0","威海市恒源渔业有限公司","印度洋公海","1000","威海市恒源渔业有限公司","321",,"中国","鲁荣远渔199"
"单拖网","2189-08-11 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔361"
